"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"St. Johns County, FL"	"12109"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Seminole County, FL"	"12117"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Seminole County, FL"	"12117"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Volusia County, FL"	"12127"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Volusia County, FL"	"12127"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Carroll County, GA"	"13045"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Cobb County, GA"	"13067"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	"Decedent's home"	"4"	38	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	"Other"	"7"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Medical Facility - Outpatient or ER"	"2"	37	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Decedent's home"	"4"	104	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Other"	"7"	43	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Place of death unknown"	"9"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	"Medical Facility - Outpatient or ER"	"2"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	"Decedent's home"	"4"	37	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Champaign County, IL"	"17019"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Champaign County, IL"	"17019"	"Decedent's home"	"4"	34	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Champaign County, IL"	"17019"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Medical Facility - Inpatient"	"1"	118	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Medical Facility - Outpatient or ER"	"2"	218	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Medical Facility - Dead on Arrival"	"3"	82	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Decedent's home"	"4"	480	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Other"	"7"	235	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"DuPage County, IL"	"17043"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"DuPage County, IL"	"17043"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Lake County, IL"	"17097"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Lake County, IL"	"17097"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"McHenry County, IL"	"17111"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Madison County, IL"	"17119"	"Medical Facility - Outpatient or ER"	"2"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Madison County, IL"	"17119"	"Decedent's home"	"4"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Madison County, IL"	"17119"	"Other"	"7"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Peoria County, IL"	"17143"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Peoria County, IL"	"17143"	"Decedent's home"	"4"	44	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Peoria County, IL"	"17143"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"St. Clair County, IL"	"17163"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Will County, IL"	"17197"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Illinois"	"17"	"Will County, IL"	"17197"	"Other"	"7"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Indiana"	"18"	"Porter County, IN"	"18127"	"Decedent's home"	"4"	33	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Kansas"	"20"	"Sedgwick County, KS"	"20173"	"Decedent's home"	"4"	42	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Kentucky"	"21"	"Campbell County, KY"	"21037"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Kentucky"	"21"	"Campbell County, KY"	"21037"	"Decedent's home"	"4"	58	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Kentucky"	"21"	"Kenton County, KY"	"21117"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Kentucky"	"21"	"Kenton County, KY"	"21117"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Kentucky"	"21"	"Kenton County, KY"	"21117"	"Other"	"7"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Medical Facility - Inpatient"	"1"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Medical Facility - Outpatient or ER"	"2"	24	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Decedent's home"	"4"	203	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Other"	"7"	58	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Louisiana"	"22"	"Lafayette Parish, LA"	"22055"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Maine"	"23"	"Cumberland County, ME"	"23005"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Maine"	"23"	"York County, ME"	"23031"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Maryland"	"24"	"Anne Arundel County, MD"	"24003"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Bristol County, MA"	"25005"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"Decedent's home"	"4"	42	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"Medical Facility - Outpatient or ER"	"2"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"Medical Facility - Dead on Arrival"	"3"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"Decedent's home"	"4"	37	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"	"Medical Facility - Dead on Arrival"	"3"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"	"Decedent's home"	"4"	29	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Plymouth County, MA"	"25023"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Plymouth County, MA"	"25023"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Medical Facility - Dead on Arrival"	"3"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Decedent's home"	"4"	33	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Calhoun County, MI"	"26025"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Eaton County, MI"	"26045"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Genesee County, MI"	"26049"	"Decedent's home"	"4"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Ingham County, MI"	"26065"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Kalamazoo County, MI"	"26077"	"Decedent's home"	"4"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Kent County, MI"	"26081"	"Decedent's home"	"4"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Livingston County, MI"	"26093"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"Other"	"7"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Monroe County, MI"	"26115"	"Decedent's home"	"4"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Muskegon County, MI"	"26121"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Oakland County, MI"	"26125"	"Other"	"7"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Washtenaw County, MI"	"26161"	"Decedent's home"	"4"	59	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Washtenaw County, MI"	"26161"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Outpatient or ER"	"2"	73	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Medical Facility - Dead on Arrival"	"3"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Decedent's home"	"4"	176	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Other"	"7"	80	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Anoka County, MN"	"27003"	"Decedent's home"	"4"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Dakota County, MN"	"27037"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	"Decedent's home"	"4"	69	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	"Other"	"7"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Ramsey County, MN"	"27123"	"Decedent's home"	"4"	34	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Ramsey County, MN"	"27123"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"St. Louis County, MN"	"27137"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Stearns County, MN"	"27145"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Minnesota"	"27"	"Washington County, MN"	"27163"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Boone County, MO"	"29019"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Franklin County, MO"	"29071"	"Medical Facility - Outpatient or ER"	"2"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Franklin County, MO"	"29071"	"Decedent's home"	"4"	51	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Franklin County, MO"	"29071"	"Other"	"7"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Greene County, MO"	"29077"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Jackson County, MO"	"29095"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Jackson County, MO"	"29095"	"Decedent's home"	"4"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Jefferson County, MO"	"29099"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Jefferson County, MO"	"29099"	"Medical Facility - Outpatient or ER"	"2"	52	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Jefferson County, MO"	"29099"	"Decedent's home"	"4"	133	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Jefferson County, MO"	"29099"	"Other"	"7"	56	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"Lincoln County, MO"	"29113"	"Other"	"7"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Charles County, MO"	"29183"	"Medical Facility - Inpatient"	"1"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Charles County, MO"	"29183"	"Medical Facility - Outpatient or ER"	"2"	44	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Charles County, MO"	"29183"	"Decedent's home"	"4"	156	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Charles County, MO"	"29183"	"Other"	"7"	69	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Medical Facility - Inpatient"	"1"	31	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Medical Facility - Outpatient or ER"	"2"	181	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Decedent's home"	"4"	430	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Other"	"7"	256	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	"Medical Facility - Inpatient"	"1"	49	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	"Medical Facility - Outpatient or ER"	"2"	157	Not Applicable	Not Applicable
