COUNTIES,PERSC RATE,FIP
FOND DU LAC WI,44463.29,55039
TOMPKINS NY,44243.939999999995,36109
ONTARIO NY,44240.130999999994,36069
NAPA CA,44215.824,06055
FRANKLIN WA,44183.008,53021
JACKSON IL,44151.5,17077
ALBEMARLE VA,44059.99,51003
MARQUETTE MI,44021.340000000004,26103
CAMDEN MO,43989.75,29029
RILEY KS,43871.112,20161
CATTARAUGUS NY,43843.392,36009
KOSCIUSKO IN,43462.432,18085
THOMAS GA,43428.627,13275
NEZ PERCE ID,43357.784,16069
NEWAYGO MI,43347.3,26123
GRAFTON NH,43325.052,33009
POLK TX,43290.579,48373
DUNKLIN MO,43288.666,29069
ARLINGTON VA,42868.402,51013
PIKE MS,42784.632000000005,28113
WARRICK IN,42712.644,18173
CHILTON AL,42650.88,01021
SCOTT MN,42617.71800000001,27139
KNOX IL,42244.15,17095
JACKSON FL,42236.74,12063
BELMONT OH,42213.78,39013
CLEARFIELD PA,42163.659999999996,42033
NYE NV,42103.315,32023
BROWN TX,41763.992,48049
MARION AL,41652.018,01093
GEORGETOWN SC,41619.520000000004,45043
SALINE IL,41579.07,17165
SAMPSON NC,41549.274,37163
OZAUKEE WI,41487.765,55089
UNION AR,41428.422,05139
EDDY NM,41389.68,35015
LINCOLN OR,41268.612,41041
ARMSTRONG PA,41171.46,42005
CORYELL TX,41089.491,48099
OLMSTED MN,40997.887,27109
FRANKLIN IL,40815.609,17055
LOUDON TN,40767.272,47105
MILLER AR,40748.094,05091
RHEA TN,40695.909,47143
SISKIYOU CA,40621.886999999995,06093
JEFFERSON WI,40519.582,55055
COLUMBIA PA,40407.608,42037
DOUGLAS NV,40395.53,32005
CHAVES NM,40384.375,35005
BEDFORD TN,40168.104,47003
WAGONER OK,40156.765999999996,40145
HURON OH,40145.274,39077
WALKER TX,40134.05,48471
MONONGALIA WV,40132.56,54061
HARRISON TX,40131.458999999995,48203
HAWKINS TN,40090.916,47073
WASHINGTON VA,39982.560000000005,51191
WISE TX,39960.864,48497
COLUMBIA WI,39927.208000000006,55021
HUNTERDON NJ,39923.091,34019
MARION IL,39883.76,17121
EFFINGHAM GA,39863.520000000004,13103
GILA AZ,39811.265999999996,04007
INDIANA PA,39682.456000000006,42063
HENRY IN,39672.844000000005,18065
HABERSHAM GA,39526.015999999996,13137
HALL NE,39449.979,31079
KERR TX,39344.799999999996,48265
COLLETON SC,39297.111,45029
FREDERICK VA,39208.407,51069
PONTOTOC OK,39164.532,40123
ATASCOSA TX,39080.892,48013
FRANKLIN TN,38957.984,47051
CHAMBERS AL,38940.434,01017
VANCE NC,38656.38,37181
LEWIS AND CLARK MT,38604.192,30049
DEARBORN IN,38527.782,18029
COLES IL,38471.96,17029
KLAMATH OR,38349.756,41035
WOOD WI,38324.475,55141
TOOELE UT,38152.752,49045
WAYNE NY,38125.231999999996,36117
WALLA WALLA WA,38096.520000000004,53071
PASQUOTANK NC,37992.096000000005,37139
ATHENS OH,37954.987,39009
STEPHENS GA,37954.200000000004,13257
CASS ND,37839.984000000004,38017
FRANKLIN KY,37784.331,21073
PUTNAM WV,37595.7,54079
GRUNDY IL,37575.744,17063
LENOIR NC,37541.778999999995,37107
TALLAPOOSA AL,37541.310000000005,01123
JOHNSON IA,37482.72,19103
SCOTT MO,37476.12,29201
GEAUGA OH,37365.951,39055
LAWRENCE OH,37342.763999999996,39087
BOX ELDER UT,37326.636,49003
JESSAMINE KY,37122.88999999999,21113
MANITOWOC WI,37042.089,55071
WOOD TX,36932.12899999999,48499
LYON NV,36748.89,32019
JEFFERSON WV,36573.44,54037
COLQUITT GA,36525.6,13071
NELSON KY,36524.07,21179
GALLATIN MT,36504.445999999996,30031
POLK OR,36413.955,41053
BALDWIN GA,36405.78999999999,13009
FAUQUIER VA,36394.442,51061
OKEECHOBEE FL,36390.984,12093
VAN ZANDT TX,36387.369999999995,48467
KNOX IN,36374.436,18083
MALHEUR OR,36226.634999999995,41045
DUBOIS IN,36026.448,18037
SCOTT KY,35969.524,21209
CRISP GA,35951.804,13081
SOMERSET PA,35915.583,42111
LEVY FL,35734.083,12075
WATAUGA NC,35672.395,37189
NEWPORT RI,35623.588,44005
UPSON GA,35610.96,13293
LE FLORE OK,35395.63,40079
GILMER GA,35352.863,13123
HANCOCK OH,35314.878000000004,39063
WEAKLEY TN,35294.352,47183
BOONE IN,35074.831,18011
AROOSTOOK ME,34935.655,23003
BLUE EARTH MN,34638.336,27013
MADISON NY,34619.208,36053
WAYNE GA,34565.685,13305
MARION MS,34475.919,28091
JASPER IN,34401.05,18073
CHESHIRE NH,34390.420000000006,33005
HIGHLAND OH,34356.155999999995,39071
HANCOCK MS,34295.04,28045
MARSHALL TN,34237.5,47117
DALE AL,34223.712,01045
BURNET TX,34190.05,48053
DAWSON GA,34149.264,13085
CLARKE AL,34110.168,01025
BARRY MO,33999.549999999996,29009
FRANKLIN VT,33988.576,50011
BUFFALO NE,33917.096999999994,31019
WINSTON AL,33883.986,01133
CHEROKEE AL,33845.231999999996,01019
CARVER MN,33838.658,27019
AMADOR CA,33828.952,06005
PUTNAM NY,33822.08,36079
CHEATHAM TN,33712.94300000001,47021
PHELPS MO,33697.188,29161
JEFFERSON IL,33651.812,17081
BOYD KY,33590.242000000006,21019
MONTGOMERY NY,33568.722,36057
ISABELLA MI,33538.56,26073
SWEETWATER WY,33535.656,56037
MARION WV,33474.984000000004,54049
HARDIN TN,33424.556000000004,47071
FRANKLIN VA,33401.032,51067
WEXFORD MI,33294.69,26165
CLAY KY,33294.373,21051
MONTGOMERY KY,33281.574,21173
KAY OK,33263.032,40071
IONIA MI,33254.258,26067
PICKENS GA,33210.22900000001,13227
CHRISTIAN KY,33187.131,21047
WARREN MS,33173.511,28149
ADAMS PA,33168.898,42001
PULASKI VA,33108.271,51155
LINCOLN MO,33106.293,29113
SANDUSKY OH,33004.151999999995,39143
JOHNSON KY,32904.804000000004,21115
MONTGOMERY KS,32815.699,20125
WASHINGTON NY,32805.344,36115
GRAND FORKS ND,32641.97,38035
MORGAN IL,32547.286,17137
HARRISON IN,32493.03,18061
DARE NC,32345.865999999998,37055
WAUPACA WI,32327.659999999996,55135
DAVIE NC,32305.884000000002,37059
STOKES NC,32141.655000000002,37169
MUHLENBERG KY,32122.478000000003,21177
EMMET MI,32111.814999999995,26047
CARBON PA,32091.000000000004,42025
GRAVES KY,32086.026,21083
SUWANNEE FL,32069.074000000004,12121
MCNAIRY TN,32014.724,47109
WASHINGTON MS,32009.661,28151
HANCOCK WV,32007.91,54029
FANNIN GA,31975.548,13111
GRANVILLE NC,31974.346999999998,37077
DUPLIN NC,31955.103999999996,37061
CLATSOP OR,31937.856000000003,41007
SAUK WI,31834.347999999998,55111
MARSHALL IN,31779.246,18099
BLADEN NC,31707.618000000006,37017
CAYUGA NY,31702.464,36011
LEE IA,31637.579999999998,19111
WARD ND,31588.347,38101
CLINTON OH,31517.967999999997,39027
EDGECOMBE NC,31500.864,37065
COOKE TX,31479.090999999997,48097
CHESTERFIELD SC,31452.850000000002,45025
ANDERSON TX,31350.105,48001
OXFORD ME,31248.524999999998,23017
WORCESTER MD,31208.772,24047
SALEM NJ,31192.5,34033
OLDHAM KY,31128.334000000003,21185
OTSEGO MI,31032.344,26137
TALBOT MD,30934.592,24041
SHERBURNE MN,30921.684,27141
MARSHALL KY,30913.4,21157
MAYES OK,30907.2,40097
STORY IA,30883.206,19169
ISLAND WA,30821.042,53029
CHEROKEE TX,30797.910000000003,48073
CRAWFORD KS,30782.674,20037
CHEROKEE NC,30757.9,37039
MURRAY GA,30673.44,13213
NAVARRO TX,30669.156000000003,48349
PERSON NC,30644.239999999994,37145
FULTON NY,30641.842,36035
GARFIELD CO,30631.11,08045
GRAYSON KY,30602.465999999997,21085
CROW WING MN,30510.795,27035
DALLAS AL,30500.719999999998,01047
STEPHENSON IL,30436.632000000005,17177
BELKNAP NH,30406.288,33001
RUTLAND VT,30375.702,50021
MECOSTA MI,30373.647,26107
CALLOWAY KY,30342.778,21035
UNION OH,30319.832,39159
TUSCOLA MI,30249.855000000003,26157
OTSEGO NY,30162.951,36077
BARRY MI,30159.5,26015
CLARK KY,30134.552999999996,21049
CARBON UT,30121.535999999996,49007
PICKAWAY OH,30105.355000000003,39129
COWLEY KS,30090.696,20035
DELAWARE OK,29934.263999999996,40041
JACKSON NC,29921.778,37099
PIKE AL,29835.713999999996,01109
BRADFORD PA,29799.562,42015
CAMDEN GA,29738.303999999996,13039
WEBSTER MO,29694.0,29225
IOSCO MI,29674.987,26069
COLUMBIA NY,29671.039,36021
MONTGOMERY IN,29635.273999999998,18107
DODGE WI,29601.743000000002,55027
DILLON SC,29564.63,45033
VENANGO PA,29539.444,42121
CLINTON IA,29528.844,19045
OTERO NM,29493.13,35035
TOOMBS GA,29486.170000000002,13279
SUMTER GA,29435.428000000004,13261
GILES TN,29405.071999999996,47055
DES MOINES IA,29381.118000000002,19057
BROWN OH,29316.6,39015
JIM WELLS TX,29308.968,48249
WALKER GA,29299.62,13295
COLUMBIA OR,29265.886,41009
CLARE MI,29247.75,26035
LINCOLN TN,29176.734000000004,47103
FRANKLIN MA,29124.699999999997,25011
LACLEDE MO,29114.245000000003,29105
ADAMS MS,29096.964,28001
DODGE NE,29069.175,31053
BENTON OR,29032.536,41003
NOBLE IN,28980.608,18113
LAWRENCE AL,28973.120000000003,01079
BROOMFIELD CO,28961.115,08014
JEFFERSON IN,28947.967999999997,18077
OUACHITA AR,28946.915999999997,05103
KAUAI HI,28917.199999999997,15007
JACKSON OH,28912.396,39079
NEWTON MO,28885.056,29145
ALPENA MI,28859.48,26007
STEVENS WA,28851.213000000003,53065
FRANKLIN NC,28849.59,37069
MASON MI,28823.416,26105
DECATUR GA,28806.764,13087
PETTIS MO,28790.52,29159
NESHOBA MS,28768.584,28099
HARLAN KY,28715.040000000005,21095
CURRY OR,28702.100000000002,41015
DELTA MI,28698.768,26041
HENDERSON TN,28679.34,47077
PORTAGE WI,28662.66,55097
SHELBY KY,28630.016,21211
LIBERTY GA,28567.275,13179
FRANKLIN NY,28562.562,36033
HOPKINS TX,28554.679999999997,48223
LEAVENWORTH KS,28533.542,20103
MCKEAN PA,28518.75,42083
OKMULGEE OK,28502.564999999995,40111
WASCO OR,28496.376,41065
SENECA OH,28416.67,39147
LAFAYETTE MS,28413.994000000002,28071
LINCOLN NE,28385.082,31111
CARROLL TN,28377.874000000003,47017
LOGAN OH,28362.312,39091
CHIPPEWA WI,28320.204,55017
LINCOLN MS,28312.837,28085
OBION TN,28294.928999999996,47131
GUERNSEY OH,28145.500000000004,39059
MONTROSE CO,28134.764,08085
ROSCOMMON MI,28126.249,26143
CLINTON MI,28017.440000000002,26037
GRADY OK,27917.0,40051
PANOLA MS,27900.672,28107
MARENGO AL,27898.377,01091
HOT SPRING AR,27894.845999999998,05059
MADISON NE,27868.606000000003,31119
GRENADA MS,27857.236,28043
MARSHALL WV,27844.272,54051
CRAWFORD OH,27842.474,39033
BOYLE KY,27805.500000000004,21021
CERRO GORDO IA,27762.300000000003,19033
ASOTIN WA,27753.278000000002,53003
WASHINGTON FL,27740.097,12133
WHITE TN,27727.83,47185
JOHNSON AR,27720.853999999996,05071
MARION MO,27645.570000000003,29127
MCDOWELL NC,27590.868,37111
LEFLORE MS,27506.607999999997,28083
CARROLL NH,27438.510000000002,33003
HENRY VA,27401.894,51089
BRYAN GA,27342.629999999997,13029
SCOTT TN,27320.184,47151
SCOTT IN,27286.839,18143
BEN HILL GA,27137.5,13017
MONTGOMERY IL,27135.37,17135
OKTIBBEHA MS,27124.089,28105
DEL NORTE CA,27061.076,06015
CALAVERAS CA,26946.235,06009
RAVALLI MT,26940.69,30081
GREENBRIER WV,26932.374,54025
SCOTTS BLUFF NE,26891.59,31157
GLOUCESTER VA,26853.212000000003,51073
SHELBY IN,26837.4,18145
WAYNE PA,26810.442000000003,42127
FREMONT CO,26742.001,08043
MONROE MS,26685.764,28095
GIBSON IN,26657.928,18051
WAPELLO IA,26646.378,19179
MARION SC,26640.933,45067
SCOTT VA,26569.312,51169
BINGHAM ID,26495.026,16011
ERATH TX,26472.760000000002,48143
RIO ARRIBA NM,26466.28,35039
JACKSON IN,26450.138,18071
HARVEY KS,26441.472,20079
SILVER BOW MT,26395.739999999998,30093
LOGAN KY,26370.246,21141
LEE VA,26350.875,51105
CHATTOOGA GA,26325.917999999998,13055
GEORGE MS,26264.0,28039
BLOUNT AL,26253.003999999997,01009
MACON NC,26248.056,37113
FRANKLIN GA,26244.276,13119
ELLIS KS,26211.653999999995,20051
WASHINGTON VT,26167.232,50023
WHITESIDE IL,26152.95,17195
NICHOLAS WV,26112.736,54067
WARREN VA,26106.6,51187
BAKER FL,25996.9,12003
CAMPBELL WY,25950.960000000003,56005
BEDFORD VA,25911.016,51019
WILSON TX,25892.49,48493
SHELBY OH,25801.29,39149
LIVINGSTON NY,25794.739999999998,36051
MIFFLIN PA,25791.142,42087
WHITE GA,25747.128,13311
GRAHAM AZ,25710.094,04009
POINSETT AR,25692.576,05111
RIPLEY IN,25689.868000000002,18137
TRANSYLVANIA NC,25651.21,37175
CLEBURNE AR,25591.813000000002,05023
TATE MS,25517.220999999998,28137
GREENE NY,25387.144,36039
PALO PINTO TX,25336.052,48363
KENDALL TX,25328.154,48259
MADISON OH,25317.746,39097
RICE MN,25315.415999999997,27131
PENDER NC,25287.06,37141
SMYTH VA,25257.256000000005,51173
MCDUFFIE GA,25254.72,13189
LAUDERDALE TN,25222.872,47097
LETCHER KY,25173.904,21133
ELBERT GA,25067.363999999998,13105
HANCOCK ME,25019.085,23009
BARTON KS,25005.63,20009
GENESEE NY,24974.079999999998,36037
CUSTER OK,24797.565,40039
RABUN GA,24797.238999999998,13241
BARRON WI,24793.712,55005
NEWBERRY SC,24716.92,45071
HENRY MO,24704.768,29083
HERTFORD NC,24671.434,37091
SOMERSET ME,24636.192,23025
BONNER ID,24516.104,16017
KNOX KY,24479.969999999998,21121
CULPEPER VA,24461.324999999997,51047
BRANCH MI,24369.52,26023
MARINETTE WI,24331.05,55075
GRATIOT MI,24223.045000000002,26057
WARREN PA,24141.656000000003,42123
SANPETE UT,24132.42,49039
RUSSELL VA,24060.33,51167
OGEMAW MI,24041.565,26129
YORK VA,24034.56,51199
HENRY IL,24016.283,17073
CHATHAM NC,23979.340000000004,37037
MARLBORO SC,23976.324,45069
FULTON IL,23969.319999999996,17057
LA PLATA CO,23893.925000000003,08067
BUCHANAN VA,23860.543999999998,51027
RANDOLPH MO,23857.072,29175
OTTER TAIL MN,23850.876000000004,27111
DEKALB TN,23809.38,47041
CORTLAND NY,23790.5,36023
HART GA,23767.935,13147
WAYNE WV,23759.406,54099
UNION SC,23737.604000000003,45087
FAYETTE TN,23733.741,47047
WHARTON TX,23728.476000000002,48481
MONROE WI,23727.788999999997,55081
FULTON OH,23716.938,39051
WHITLEY IN,23706.872,18183
HERKIMER NY,23546.496000000003,36043
HENDRY FL,23532.32,12051
RUSK TX,23503.392,48401
JEFFERSON PA,23492.925,42065
WEBSTER IA,23445.312,19187
UNION MS,23397.78,28145
WASHINGTON TX,23359.181999999997,48477
UNION GA,23334.472,13291
JOHNSON MO,23300.722,29101
FREMONT WY,23242.512000000002,56013
CHEBOYGAN MI,23228.644,26031
CLARENDON SC,23182.815,45027
HUNTINGTON IN,23153.68,18069
KNOX OH,23059.14,39083
CHESTER SC,23054.46,45023
MADISON GA,23037.48,13195
FORD KS,23029.015,20057
OHIO WV,23024.516,54069
ITASCA MN,23016.3,27061
CURRY NM,23008.38,35009
UNION OR,22970.760000000002,41061
DOUGLAS MN,22960.882,27041
DEFIANCE OH,22928.374,39039
ORANGE VA,22897.518,51137
WAKULLA FL,22875.041999999998,12129
FENTRESS TN,22857.382,47049
OTTAWA OK,22847.218,40115
TITUS TX,22826.75,48449
FAYETTE WV,22772.022,54019
MONROE AL,22764.834000000003,01099
STONE MO,22749.824,29209
ADAIR MO,22732.671000000002,29001
DOUGLAS WA,22713.367,53017
WABASH IN,22689.072,18169
SAN BENITO CA,22673.688000000002,06069
LIVINGSTON IL,22672.128,17105
TILLAMOOK OR,22656.168,41057
MONROE IL,22652.598,17133
STEUBEN IN,22624.476000000002,18151
WYTHE VA,22602.992,51197
JEFFERSON WA,22554.699999999997,53031
BOONE WV,22529.85,54005
MARSHALL IA,22519.068,19127
LUMPKIN GA,22485.090000000004,13187
WAYNE KY,22467.965,21231
FINNEY KS,22463.672000000002,20055
OCONEE GA,22435.960000000003,13219
FRANKLIN KS,22402.088,20059
JACKSON OK,22395.89,40065
HARDEMAN TN,22369.649999999998,47069
FAYETTE IN,22339.634000000002,18041
TAYLOR FL,22280.777,12123
HILLSDALE MI,22255.239999999998,26059
SIMPSON MS,22206.113999999998,28127
MATAGORDA TX,22205.658,48321
CLINTON PA,22174.768,42035
OKANOGAN WA,22135.332,53047
OHIO KY,22098.474,21183
CLAY MN,22092.368,27027
ELKO NV,22061.203999999998,32007
ONEIDA WI,22033.305,55085
COLUMBIA AR,22026.123,05027
JUNEAU WI,21963.400999999998,55057
GREENE PA,21957.198,42059
TAYLOR KY,21955.188000000002,21217
JERSEY IL,21838.319,17083
HOWARD TX,21815.079999999998,48227
GRANT KY,21810.03,21081
ALLEGANY NY,21801.043,36003
CLARK AR,21739.68,05019
HEMPSTEAD AR,21725.788,05057
EMANUEL GA,21717.514000000003,13107
DAVIESS IN,21711.500999999997,18027
KANDIYOHI MN,21685.898,27067
POLK WI,21672.585,55095
CHAMPAIGN OH,21658.945000000003,39021
PIKE PA,21653.892,42103
STODDARD MO,21652.649999999998,29207
BOONE IL,21631.776,17007
GREENUP KY,21620.368000000002,21089
RANDOLPH WV,21607.335,54083
SEVIER UT,21576.76,49041
WARREN IA,21564.253999999997,19181
MACON TN,21551.352,47111
CONWAY AR,21533.918,05029
PHILLIPS AR,21480.656,05107
PERRY OH,21463.595999999998,39127
UNICOI TN,21459.600000000002,47171
TIOGA PA,21350.866,42117
WINDHAM VT,21322.11,50025
CASS IN,21294.285,18017
ADAMS NE,21264.113999999998,31001
PARK WY,21253.232,56029
BARBOUR AL,21229.960000000003,01005
MECKLENBURG VA,21166.204,51117
ASHE NC,21163.933999999997,37009
LIMESTONE TX,21140.174000000003,48293
TISHOMINGO MS,21030.555,28141
JENNINGS IN,21023.13,18079
GADSDEN FL,21003.600000000002,12039
CLARION PA,20987.148,42031
STARKE IN,20948.444999999996,18149
ISLE OF WIGHT VA,20929.476,51093
PONTOTOC MS,20913.100000000002,28115
GRUNDY TN,20865.558,47061
PIKE OH,20856.772,39131
CASS TX,20838.044,48067
MCPHERSON KS,20835.66,20113
OTTAWA OH,20829.85,39123
FAYETTE OH,20823.25,39047
MUSCATINE IA,20820.032,19139
GREENE IN,20717.378000000004,18055
WHITMAN WA,20642.848,53075
BUTLER AL,20614.879999999997,01013
DREW AR,20587.47,05043
BEDFORD PA,20543.951999999997,42009
COPIAH MS,20459.385,28029
DELTA CO,20442.271999999997,08029
CHENANGO NY,20393.424000000003,36017
MARION TN,20379.435,47115
CHRISTIAN IL,20319.216,17021
STONE MS,20297.952,28131
SHARP AR,20285.046,05135
LYON KS,20282.145,20111
POLK MO,20221.721,29167
PLATTE NE,20182.41,31141
OVERTON TN,20150.345999999998,47133
LEE IL,20082.543999999998,17103
COSHOCTON OH,20020.2,39031
DARKE OH,19985.183,39037
ROWAN KY,19983.82,21205
TAOS NM,19961.030000000002,35055
CARROLL AR,19951.14,05015
PERRY PA,19943.232000000004,42099
LATAH ID,19933.676,16057
UNION IL,19916.987999999998,17181
HILL TX,19900.407,48217
MCDONOUGH IL,19857.258,17109
BRADFORD FL,19853.504,12007
GLADWIN MI,19824.771,26051
DELAWARE NY,19816.615,36025
MITCHELL GA,19807.877999999997,13205
PEACH GA,19805.574,13225
CASSIA ID,19800.72,16031
SCOTT MS,19799.296000000002,28123
ASHLEY AR,19794.599,05003
PREBLE OH,19786.888,39135
MCLEOD MN,19777.043,27085
HOKE NC,19773.772,37093
SEWARD KS,19670.904,20175
DORCHESTER MD,19572.477,24019
RANDOLPH AL,19540.92,01111
BELTRAMI MN,19535.832,27007
KNOX ME,19528.052000000003,23013
WAYNE TN,19524.083,47181
HALIFAX VA,19498.825,51083
COAHOMA MS,19491.244,28027
CEDAR MO,19457.244,29039
HUNTINGDON PA,19457.064000000002,42061
SNYDER PA,19418.932,42109
UINTA WY,19396.734,56041
POLK AR,19385.043999999998,05113
CHURCHILL NV,19354.293,32001
WASHINGTON IN,19344.84,18175
JACKSON AR,19327.163999999997,05067
ARKANSAS AR,19304.544,05001
BROWN SD,19302.983,46013
GRANT WI,19289.625,55043
BACON GA,19280.228,13005
SMITH TN,19229.778000000002,47159
UNION PA,19227.043999999998,42119
ITAWAMBA MS,19203.19,28057
WAYNE MS,19194.033,28153
GRAY TX,19194.022,48179
WILLIAMSBURG SC,19192.576,45089
BREATHITT KY,19147.079999999998,21025
GLENN CA,19136.882,06021
GREENE GA,19111.932,13133
ADAMS OH,19111.620000000003,39001
MARTIN NC,19051.56,37117
HOCKING OH,19021.672,39073
TELLER CO,19015.612,08119
APPLING GA,18992.738,13001
JASPER IA,18964.350000000002,19099
STARR TX,18937.469,48427
BEE TX,18920.265,48025
CALHOUN TX,18905.52,48057
BOLIVAR MS,18897.476,28011
LINCOLN SD,18888.552,46083
BECKHAM OK,18886.176000000003,40009
CLAY IN,18855.775,18021
PRENTISS MS,18844.5,28117
WRIGHT MO,18837.67,29229
DICKENSON VA,18828.170000000002,51051
SEQUATCHIE TN,18797.525999999998,47153
SUMMIT UT,18796.670000000002,49043
MEDINA TX,18776.576,48325
MCCURTAIN OK,18714.239999999998,40089
HALE TX,18707.36,48189
MINERAL WV,18673.260000000002,54057
ISANTI MN,18592.967999999997,27059
BENNINGTON VT,18586.28,50003
MIAMI IN,18574.868,18103
GILLESPIE TX,18567.744,48171
WILLIAMS ND,18531.376999999997,38105
MANISTEE MI,18516.732000000004,26101
DALLAS IA,18503.694,19049
EFFINGHAM IL,18432.336,17049
EAGLE CO,18412.417999999998,08037
SHENANDOAH VA,18405.952,51171
GARRETT MD,18394.876,24023
LAMAR MS,18369.469999999998,28073
UINTAH UT,18367.275999999998,49047
GEARY KS,18305.26,20061
CARLTON MN,18294.21,27017
RUSSELL KY,18263.537,21207
PUTNAM IN,18261.936,18133
HOWARD AR,18218.760000000002,05061
STONE AR,18183.724000000002,05137
ADAMS IN,18174.715999999997,18001
BIBB AL,18161.534,01007
WYOMING WV,18130.266,54109
LABETTE KS,18127.032000000003,20099
DOUGLAS WI,18123.0,55031
MASSAC IL,18096.408,17127
KITTITAS WA,18071.495000000003,53037
WOODWARD OK,18048.423,40153
WARREN MO,18038.394,29219
CROOK OR,17985.748,41013
AMHERST VA,17951.64,51009
YANKTON SD,17863.361999999997,46135
ELK PA,17856.27,42047
HUMPHREYS TN,17838.72,47085
LITTLE RIVER AR,17812.327,05081
CLAY MS,17712.772,28025
STARK ND,17696.818,38089
FANNIN TX,17685.971999999998,48147
ADAIR KY,17685.042,21001
YADKIN NC,17665.823,37197
JASPER TX,17657.913,48241
LOGAN IL,17657.306,17107
MORRISON MN,17594.422000000002,27097
ARANSAS TX,17585.48,48007
CRAWFORD MO,17581.2,29055
MADISON ID,17559.079999999998,16065
ESTILL KY,17547.864,21065
TATTNALL GA,17523.198,13267
WASATCH UT,17454.592,49051
LAKE MT,17452.433999999997,30047
CHIPPEWA MI,17441.983,26033
KLEBERG TX,17395.56,48273
ROCKINGHAM VA,17372.976,51165
WINONA MN,17366.496,27169
MARION IA,17324.813,19125
WYOMING NY,17258.946999999996,36121
POLK TN,17235.968,47139
HURON MI,17225.436,26063
WELLS IN,17203.967999999997,18179
COVINGTON MS,17145.120000000003,28031
SUSQUEHANNA PA,17139.399999999998,42115
MURRAY OK,17126.841,40099
ORLEANS NY,17109.248,36073
KINGFISHER OK,17089.260000000002,40073
PRESTON WV,17083.752,54077
LINCOLN MT,17022.960000000003,30053
BUTTS GA,16981.416,13035
UVALDE TX,16873.571000000004,48463
COOK GA,16872.79,13075
CHARLEVOIX MI,16836.092,26029
MCCREARY KY,16765.763,21147
PANOLA TX,16722.874,48365
MONTEZUMA CO,16704.753999999997,08083
CALDWELL TX,16679.648,48055
GRAINGER TN,16650.48,47057
DICKINSON MI,16632.501,26043
SULLIVAN NH,16568.064,33019
CLINTON IN,16523.49,18023
GEM ID,16500.032,16045
JACKSON WV,16488.352,54035
MONROE GA,16464.066,13207
PRINCE EDWARD VA,16463.044,51147
HOOD RIVER OR,16460.928,41027
FULTON IN,16438.602,18049
POWELL KY,16437.47,21197
SALINE MO,16433.442000000003,29195
KENT MD,16431.012,24029
LEAKE MS,16428.706,28079
GRADY GA,16380.945000000002,13131
PAGE VA,16372.87,51139
RANDOLPH IL,16367.73,17157
AUGLAIZE OH,16344.847999999998,39011
MITCHELL NC,16340.687999999998,37121
LAWRENCE MO,16262.52,29109
SAGADAHOC ME,16242.767999999998,23023
GALLIA OH,16204.716000000002,39053
VAN BUREN AR,16181.009999999998,05141
ALLEN KS,16178.652000000002,20001
CROSS AR,16172.715,05037
ASHLAND OH,16152.168000000001,39005
MERCER KY,16098.822000000002,21167
BRISTOL RI,16095.028000000002,44001
HARDIN OH,16058.88,39065
TIPPAH MS,16026.92,28139
YOUNG TX,16010.890000000001,48503
LESLIE KY,15980.986,21131
ALAMOSA CO,15973.272000000003,08003
MAGOFFIN KY,15955.231999999998,21153
WORTH GA,15954.635999999999,13321
COOS NH,15939.315,33007
ANSON NC,15938.792000000001,37007
VAL VERDE TX,15933.125,48465
GREEN WI,15929.760000000002,55045
LASSEN CA,15806.241000000002,06035
CODINGTON SD,15741.057999999999,46029
WHITE IN,15714.504,18181
MARION KY,15707.494999999999,21155
MARSHALL MS,15705.83,28093
LINCOLN WI,15672.823999999999,55069
BENTON MO,15671.057999999999,29015
TIOGA NY,15665.974999999999,36107
LAWRENCE SD,15661.464,46081
ELMORE ID,15653.759,16039
LOGAN OK,15651.586000000001,40083
GOODHUE MN,15616.58,27049
BOURBON KY,15592.944,21017
WILBARGER TX,15578.18,48487
HOCKLEY TX,15562.196,48219
CARTER KY,15542.260000000002,21043
AUDRAIN MO,15537.456,29007
POLK MN,15525.179999999998,27119
HAMPTON SC,15492.931999999999,45049
CAMPBELL VA,15477.57,51031
BARNWELL SC,15461.705999999998,45011
LOGAN CO,15439.801000000001,08075
ANDERSON KY,15422.465999999999,21005
CLAY AR,15409.509,05021
OTERO CO,15390.076000000001,08089
ALLEN KY,15389.43,21003
BENTON TN,15255.04,47005
BAKER OR,15253.304,41001
JASPER SC,15247.011000000002,45053
MERIWETHER GA,15219.073,13199
WADENA MN,15214.384,27159
SIMPSON KY,15210.468,21213
MASON WV,15193.668000000001,54053
WASHINGTON ME,15156.057,23029
MERCER OH,15110.124000000002,39107
WOODFORD KY,15104.71,21239
ESSEX NY,15049.08,36031
PERRY IN,15047.664999999999,18123
DODGE GA,15041.650000000001,13091
FAYETTE AL,15030.444000000001,01057
RANDOLPH AR,15012.888,05121
RANDOLPH IN,14946.990000000002,18135
CARROLL IA,14901.935000000001,19027
SEMINOLE OK,14894.412,40133
CALDWELL KY,14888.496,21033
BURKE GA,14884.695000000002,13033
JAY IN,14877.408000000001,18075
ORANGE IN,14832.730000000001,18117
MASON KY,14816.759999999998,21161
CALLAWAY MO,14809.933,29027
SHELBY TX,14760.016,48419
MAVERICK TX,14739.222000000002,48323
ATTALA MS,14702.766000000001,28007
MORGAN CO,14679.34,08087
CHAFFEE CO,14635.964000000002,08015
GRANT NM,14632.916000000001,35017
LAS ANIMAS CO,14622.048,08071
UNION KY,14596.715,21225
CANDLER GA,14594.853,13043
